session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
61,227,538,227,643,643,217,217,55,55,2120,0031
62,55,106,1250,245,513,55,3329,3541,938,1387,0031
63,3372,938,1387,938,350,350,602,602,55,217,0031
64,217,415,133,133,3439,393,55,55,55,394,0031
65,898,55,123,421,200,55,55,473,55,3519,0031
66,217,3514,217,55,768,55,123,55,200,193,0031
67,106,128,293,106,173,1554,1551,55,333,3536,0031
68,1801,3523,1801,227,859,212,212,55,200,123,0031
69,421,3419,227,3445,227,55,421,677,203,5,0031
70,55,174,419,2,463,2,2,2,6,3,0031
71,2,3,6,2,942,2,2087,767,2087,419,0031
72,419,192,2,463,2,6,2,3,6,2,0031
73,3,4,10,10,4,3,6,3,4,4,0031
74,21,10,6,27,4,10,4,4,9,3,0031
75,30,6,10,21,27,33,30,115,9,9,0031
76,4,115,23,4,33,6,4,9,4,115,0031
77,6,23,9,192,419,419,192,2,6,3,0031
78,3,6,2,2,2,6,2,3,62,54,0031
79,2,6,3,54,62,86,54,62,142,54,0031
80,142,62,2,2,2,88,2,576,133,3,0031
81,3,133,200,123,55,3,55,3491,3573,200,0031
82,123,55,3,128,193,3482,227,3466,227,643,0031
83,217,217,55,55,576,133,3,133,3,123,0031
84,200,55,3,55,333,5,193,343,55,55,0031
85,5,677,464,293,203,3331,55,3605,366,3604,0031
86,603,603,366,227,227,1080,768,350,768,350,0031
87,562,562,192,2,6,3,2,2142,3,2142,0031
88,2142,3,6,576,133,2,133,3,61,61,0031
89,3342,549,41,61,19,38,13,19,13,38,0031
90,133,31,14,3432,38,1,13,246,603,13,0031
91,14,19,19,38,227,6,14,13,393,1,0031
92,13,38,858,13,19,137,13,1,19,137,0031
93,8,858,13,14,1,14,536,19,38,3,0031
94,1,19,13,6,6,536,13,19,1,6,0031
95,75,75,1,1,1,14,1,14,14,19,0031
96,75,14,1,75,1,14,14,14,1,14,0031
97,1,14,14,1,14,14,1,14,1,14,0031
98,75,14,1,14,1,14,14,13,14,6,0031
99,55,3,55,55,200,123,421,464,106,5,0031
100,106,3642,245,173,55,3397,258,3557,562,258,0031
101,562,174,174,43,2,6,3,86,62,142,0031
102,2,54,54,86,54,54,54,6,3,2,0031
103,2,2,2134,2,2,3,576,133,3,133,0031
104,133,133,200,123,55,3,55,123,200,55,0031
105,193,128,55,3463,227,3554,2137,227,562,1567,0031
106,2,6,3,2,6,3,148,148,18,6,0031
107,148,17,5,44,5,3,148,3,6,1153,0031
108,148,148,3,148,148,148,148,10,148,10,0031
109,148,148,148,148,148,148,148,148,148,148,0031
110,148,148,10,148,148,148,148,148,148,148,0031
111,148,148,148,148,148,13,38,19,148,148,0031
112,148,148,148,148,148,148,148,148,148,148,0031
113,148,148,148,148,148,148,148,148,148,148,0031
114,148,148,148,148,148,148,148,148,148,148,0031
115,148,148,148,148,148,148,148,148,148,148,0031
116,148,148,148,148,148,148,148,148,148,148,0031
117,148,148,148,148,148,246,148,148,148,148,0031
118,148,148,148,148,148,148,148,148,148,148,0031
119,148,148,148,148,148,2,6,3,238,6,0031
120,88,238,2,3,38,13,19,3,6,88,0031
121,238,38,19,13,238,426,359,359,426,74,0031
122,1156,902,1259,3355,1259,1249,238,426,359,504,0031
123,1259,734,1156,359,426,3349,74,1386,74,74,0031
124,74,74,74,359,74,74,74,74,74,74,0031
125,74,2604,359,902,504,902,74,74,74,359,0031
126,1249,2604,504,74,74,733,574,853,1783,74,0031
127,74,1249,74,74,74,426,359,1804,426,359,0031
128,375,44,18,17,375,5,375,5,3350,375,0031
129,1802,1802,359,74,1804,359,74,74,74,74,0031
130,74,74,74,74,74,74,74,74,74,74,0031
131,74,74,74,74,74,74,74,238,74,74,0031
132,74,74,74,74,74,74,74,74,74,74,0031
133,74,74,74,74,74,74,74,74,74,74,0031
134,74,74,74,74,238,1574,31,6,6,22,0031
135,5,455,1574,17,18,44,31,6,1574,130,0031
136,647,5,22,1574,44,6,53,6,5,1574,0031
137,20,20,10,20,20,10,2,6,3,2,0031
138,2613,2613,6,3,238,2,53,238,238,44,0031
139,1390,1375,226,2086,1390,22,1375,226,1375,1390,0031
140,6,10,5,18,1375,1078,1390,17,5,1078,0031
141,6,20,13,19,1390,1078,1390,238,238,88,0031
142,3,238,1249,238,13,238,244,741,1384,741,0031
143,44,17,18,774,6,6,741,1389,6,333,0031
144,343,677,5,2622,5,535,173,417,625,1152,0031
145,173,293,10,625,173,10,3330,173,741,20,0031
146,20,174,20,88,3,13,238,238,903,710,0031
147,3336,416,416,775,1795,416,17,18,203,22,0031
148,416,2112,1795,5,1570,416,20,6,2,3,0031
149,2,518,6,1254,518,6,17,2584,18,1254,0031
150,518,1254,1254,518,1254,1782,170,2104,854,518,0031
151,1008,452,170,1254,5,1254,170,193,518,518,0031
152,518,518,393,518,518,518,393,518,208,17,0031
153,518,5,208,18,518,518,518,518,518,518,0031
154,518,518,518,518,518,518,518,2,2,1076,0031
155,1076,31,3,1076,5,22,1076,208,3687,31,0031
156,1076,208,6,937,208,208,396,937,208,208,0031
157,20,20,10,10,1076,208,208,396,937,735,0031
158,208,238,2,2,3682,5,326,18,17,2633,0031
159,106,22,6,5,2,226,3666,3680,106,2633,0031
160,2579,2621,2579,2621,5,6,5,3688,10,10,0031
161,326,13,38,19,20,20,396,2,208,1076,0031
162,5,1076,208,6,20,1076,2605,208,187,376,0031
163,385,937,517,376,605,208,607,5,396,187,0031
164,385,22,6,31,385,517,208,187,20,645,0031
165,187,10,6,385,20,607,376,5,385,605,0031
166,517,376,3690,6,645,376,376,607,5,187,0031
167,376,421,605,187,20,3689,517,605,6,376,0031
168,2110,187,5,376,376,517,187,645,385,376,0031
169,6,18,20,17,20,5,2632,2632,455,208,0031
170,187,5,376,20,376,605,517,17,6,735,0031
171,937,18,208,396,2127,5,6,208,2127,396,0031
172,208,20,605,5,20,517,17,6,645,18,0031
173,5,20,2,187,238,396,187,2,3,238,0031
174,3,238,1385,2582,2126,1247,3681,3648,1081,17,0031
175,130,87,18,1385,1081,73,53,2126,130,5,0031
176,6,10,31,87,73,1377,1081,22,20,3366,0031
177,1081,2,87,62,54,142,2,86,54,86,0031
178,62,54,54,54,3,88,13,238,238,53,0031
179,238,2,3,2,1007,102,172,102,172,2600,0031
180,2115,1007,73,3637,44,102,251,1007,146,899,0031
181,31,2,174,174,102,146,102,1007,1007,172,0031
182,1007,172,172,73,1007,172,2115,2115,73,2600,0031
183,3,88,238,13,2,3,2,1573,3316,3,0031
184,402,1573,898,1573,516,898,394,394,394,394,0031
185,3337,2,1573,3653,3654,3,394,394,394,394,0031
186,394,394,394,1573,394,394,2,6,3,2,0031
187,318,102,6,3,73,84,102,318,3338,1805,0031
188,146,1805,740,628,318,2590,318,73,1805,318,0031
189,1074,318,84,31,2590,146,102,318,22,5,0031
190,84,318,17,18,6,53,6,125,22,10,0031
191,20,318,10,3345,318,318,1377,73,1805,1786,0031
192,20,318,1074,22,1786,5,125,53,18,17,0031
193,6,238,318,20,318,73,1380,73,1380,1074,0031
194,1380,22,18,5,6,17,53,125,5,318,0031
195,20,2111,318,73,1074,318,22,53,17,18,0031
196,6,125,5,20,318,1552,73,1552,318,22,0031
197,17,6,5,18,318,1787,318,1787,73,318,0031
198,20,1074,1787,22,6,5,53,18,17,22,0031
199,318,73,318,20,2577,1074,375,2577,17,6,0031
200,5,18,53,318,2107,2107,73,318,20,2107,0031
201,5,18,17,53,5,6,2583,3629,3627,2583,0031
202,31,3628,3625,3624,84,3626,3630,20,2,627,0031
203,2,738,1077,421,18,17,5,211,473,627,0031
204,473,738,17,473,18,627,738,1077,421,1571,0031
205,738,627,738,738,627,738,627,17,738,18,0031
206,421,1077,1561,87,627,627,87,17,1077,18,0031
207,738,402,738,738,627,402,738,17,1077,18,0031
208,627,627,1077,18,738,402,17,402,627,627,0031
209,2,18,738,2,17,1077,627,627,627,1077,0031
210,17,738,18,627,318,1558,318,2092,1074,73,0031
211,318,1558,769,172,1558,375,17,6,5,18,0031
212,53,125,20,318,318,1789,73,1789,1789,18,0031
213,53,6,125,17,5,3,88,238,13,20,0031
214,627,627,1077,18,17,738,627,318,2578,318,0031
215,73,87,2578,125,5,53,18,6,17,20,0031
216,87,318,1786,318,73,1786,125,53,5,44,0031
217,18,6,17,318,1378,318,1378,73,87,1378,0031
218,5,53,18,6,17,318,87,20,2108,318,0031
219,375,73,2092,769,2108,318,2108,375,125,53,0031
220,6,17,5,18,318,73,20,318,2593,2620,0031
221,375,2620,2593,6,17,5,53,125,18,20,0031
222,5,318,318,2093,2093,1377,73,318,1565,318,0031
223,2093,6,17,18,53,125,5,318,20,318,0031
224,3326,318,73,1377,18,5,6,17,318,3678,0031
225,20,238,61,61,1252,680,2592,61,549,41,0031
226,61,228,228,228,351,351,505,192,228,228,0031
227,228,101,228,228,40,228,228,228,228,228,0031
228,101,228,40,1258,228,179,40,40,61,43,0031
229,81,43,43,576,133,3,133,3,31,3310,0031
230,55,3,55,200,123,106,3641,245,513,55,0031
231,55,293,333,55,677,421,203,293,2104,55,0031
232,3457,3561,739,548,548,739,227,395,550,174,0031
233,174,43,192,93,93,93,576,133,93,31,0031
234,133,3,133,3,133,200,123,644,133,393,0031
235,3460,55,3,55,55,55,200,123,106,43,0031
236,93,93,133,200,123,393,644,644,3396,1245,0031
237,1245,55,55,55,421,606,343,128,203,174,0031
238,603,3435,3612,174,1779,603,55,200,55,1779,0031
239,123,193,5,1381,3371,3537,1381,1243,227,1243,0031
240,227,366,1009,366,1388,1388,1386,217,2629,2629,0031
241,55,55,200,123,421,55,464,55,293,473,0031
242,1555,473,5,677,333,3392,3512,55,123,200,0031
243,55,55,421,55,3455,258,3425,739,258,350,0031
244,212,897,55,55,55,55,3448,602,3453,227,0031
245,602,227,603,603,55,200,55,123,3611,3543,0031
246,606,739,606,604,1807,604,55,55,55,55,0031
247,55,55,200,123,55,3391,3510,739,1243,1243,0031
248,227,604,227,604,674,674,55,200,55,123,0031
249,3484,3490,55,55,200,123,3517,3449,133,55,0031
250,123,200,644,393,123,200,133,644,393,3367,0031
251,601,601,55,55,133,55,133,644,393,3518,0031
252,258,258,3691,3,133,576,31,3,133,644,0031
253,644,133,393,133,3485,2131,606,2131,606,55,0031
254,3,55,55,55,106,809,1250,1011,293,106,0031
255,677,899,293,245,3428,3566,395,550,395,2095,0031
256,395,1155,2106,1009,1009,897,897,604,604,43,0031
257,93,2,3,6,2,58,31,58,136,58,0031
258,58,6,2,3,2,2,2,397,274,2,0031
259,3673,2624,397,274,226,226,588,397,948,22,0031
260,1256,678,44,944,22,6,678,948,18,17,0031
261,1256,708,678,948,675,678,708,20,10,5,0031
262,6,20,397,10,2,2,814,814,475,475,0031
263,475,475,199,1157,2,2,2,2,62,54,0031
264,142,86,54,62,54,55,133,133,55,55,0031
265,55,55,421,55,193,343,5,3426,3597,2,0031
266,62,54,54,86,54,62,333,2,2,2,0031
267,58,58,58,2,2,1257,436,31,1792,436,0031
268,1572,1572,852,128,211,3325,203,1572,211,2627,0031
269,1572,5,2138,2138,1572,211,203,2138,852,211,0031
270,2627,128,5,214,436,2,1257,436,2614,3,0031
271,3,5,2,2,58,2,58,58,2,58,0031
272,58,2,58,58,2,2,2602,2,55,133,0031
273,133,55,55,55,421,473,203,174,174,55,0031
274,133,123,200,133,644,393,3410,55,55,421,0031
275,128,55,133,200,123,473,644,393,3504,93,0031
276,10,4,215,3,4,10,4,6,3,3,0031
277,4,3,21,27,6,10,27,4,21,6,0031
278,30,3,9,9,30,6,6,4,4,33,0031
279,4,4,9,6,23,4,9,9,6,33,0031
280,6,23,2,2,6,9,2,2,2,62,0031
281,54,54,2,86,86,62,9,9,4,4,0031
282,9,4,4,9,4,4,9,4,4,4,0031
283,9,4,9,4,4,9,4,133,133,4,0031
284,55,55,200,123,3332,251,3443,3469,4,9,0031
285,4,60,60,265,576,133,3,133,133,3,0031
286,31,200,123,133,133,3417,643,350,350,393,0031
287,55,55,3,55,55,55,677,3532,55,55,0031
288,200,123,106,1011,809,3574,3424,674,1387,217,0031
289,350,217,106,43,55,200,123,193,293,899,0031
290,3373,897,258,3548,258,2612,562,2612,562,606,0031
291,2089,2089,55,133,133,133,133,393,3494,227,0031
292,227,212,212,393,55,55,3434,3544,548,548,0031
293,601,601,55,55,333,55,3589,3408,1079,1079,0031
294,550,395,212,395,212,55,5,3483,3423,1567,0031
295,1567,258,1245,200,55,123,3501,851,851,2102,0031
296,3505,366,366,604,55,55,123,200,55,55,0031
297,3568,3586,55,55,123,200,5,128,3497,3451,0031
298,2132,863,856,538,856,133,55,3594,133,3578,0031
299,897,813,393,393,55,3473,55,3595,55,3470,0031
300,3521,366,366,227,212,212,258,217,859,227,0031
301,217,548,548,192,2,6,3,4,3,4,0031
302,4,10,2,6,21,2,2,27,3,10,0031
303,21,4,30,6,9,3,27,6,9,4,0031
304,33,6,4,9,33,10,4,31,576,200,0031
305,3,133,123,6,6,9,4,55,3,55,0031
306,3,55,106,173,809,1011,55,3610,643,643,0031
307,173,55,55,3,55,2588,203,55,3549,3380,0031
308,227,43,217,227,217,1569,174,55,55,174,0031
309,55,4,9,6,6,4,4,9,4,30,0031
310,4,4,30,124,124,77,30,30,30,124,0031
311,77,4,4,4,4,4,4,4,43,2,0031
312,6,3,2140,2,2,2105,3,6,2,3,0031
313,133,576,133,3,31,133,133,3601,393,3,0031
314,55,123,197,55,200,106,245,193,3499,859,0031
315,55,3,55,293,333,2588,3511,3600,227,601,0031
316,217,227,55,1079,1079,2,2,62,142,86,0031
317,2,54,2,86,142,54,770,2,2,133,0031
318,3,133,3509,393,123,55,197,55,3480,3369,0031
319,606,606,217,2096,2096,350,350,1010,55,3486,0031
320,3503,415,562,851,562,227,851,227,55,55,0031
321,2,54,62,2,62,86,2,55,2,86,0031
322,54,62,2,62,86,43,2,3,6,4,0031
323,2,10,2,6,2,21,27,2,3,9,0031
324,10,3,21,4,6,30,27,9,30,9,0031
325,4,33,10,33,4,9,6,133,576,3,0031
326,133,609,31,3,200,197,4,123,123,3,0031
327,55,55,200,123,197,106,192,193,809,1011,0031
328,342,2121,106,3456,1155,1557,55,3577,1154,227,0031
329,212,43,2,9,2,2,2,36,3,157,0031
330,36,92,3,36,3,128,5,173,105,10,0031
331,10,105,9,2,9,9,9,9,4,3,0031
332,30,4,33,2,3,30,33,4,9,9,0031
333,6,4,6,4,9,9,4,4,4,4,0031
334,9,4,4,4,4,9,4,4,9,133,0031
335,200,197,123,55,197,123,200,55,343,5,0031
336,3406,3436,415,366,415,366,601,601,604,604,0031
337,4,55,55,55,123,197,200,55,3555,739,0031
338,9,810,810,604,604,4,4,4,4,9,0031
339,55,197,55,123,200,293,1376,55,5,55,0031
340,212,3520,3459,258,258,212,55,251,203,3388,0031
341,899,246,3422,603,768,768,212,212,55,603,0031
342,813,174,813,941,941,4,55,333,3493,123,0031
343,197,200,55,3527,3531,3553,739,258,550,395,0031
344,366,200,55,123,197,55,3562,55,193,55,0031
345,55,3379,55,3585,3390,4,1569,1569,227,851,0031
346,851,174,366,366,133,55,212,55,5,2125,0031
347,2608,1791,3409,212,212,1251,3575,55,55,200,0031
348,197,123,3405,3500,1009,55,200,123,197,3564,0031
349,859,941,3542,941,2132,1251,859,258,768,768,0031
350,258,941,941,4,55,3545,3538,4,4,80,0031
351,52,67,15,72,15,1016,1016,114,2615,114,0031
352,561,39,114,114,114,114,39,37,24,537,0031
353,85,52,37,24,37,24,24,24,37,24,0031
354,37,24,37,24,15,72,2,138,112,15,0031
355,6,3,2,167,182,310,164,81,161,167,0031
356,182,164,167,161,2,6,3,4,10,2,0031
357,6,21,2,2,2,27,3,27,6,4,0031
358,10,21,9,4,3,30,9,4,33,4,0031
359,10,33,9,4,6,43,60,60,60,60,0031
360,69,69,160,80,67,67,575,112,2,138,0031
361,15,72,15,2,463,15,39,39,2,2,0031
362,37,24,24,6,3,2,85,52,3,67,0031
363,67,2,294,534,294,294,474,1556,534,294,0031
364,3,2,3,3,2,62,54,2,62,54,0031
365,86,142,86,1814,2,1814,1814,1814,2,5,0031
366,384,117,90,108,5,90,108,18,108,117,0031
367,22,73,44,102,5,17,15,90,117,296,0031
368,402,5,107,20,54,62,62,86,2,53,0031
369,2094,681,53,22,17,5,130,22,44,53,0031
370,18,6,80,3,130,15,3,31,6,10,0031
371,53,203,53,53,53,53,53,22,2,1391,0031
372,1391,2,24,37,24,254,24,37,24,2,0031
373,15,72,15,15,15,15,2,21,27,10,0031
374,3,30,6,9,33,9,9,24,37,9,0031
375,9,9,24,37,24,9,15,72,4,6,0031
376,9,9,37,24,9,6,9,9,37,24,0031
377,6,9,4,60,60,60,60,39,67,80,0031
378,576,133,3,133,609,3,31,609,123,197,0031
379,200,590,52,31,737,5,133,3385,305,55,0031
380,3,55,393,200,197,55,333,55,737,193,0031
381,293,123,67,5,3450,3603,212,212,217,550,0031
382,395,55,55,809,513,106,136,2610,55,112,0031
383,203,1011,259,246,251,128,3596,55,55,3587,0031
384,3401,1080,1080,55,55,55,87,197,123,200,0031
385,342,55,3583,3437,602,2585,2585,217,217,2626,0031
386,217,2626,87,55,128,343,737,3458,3582,810,0031
387,810,366,366,366,768,603,227,227,37,24,0031
388,24,24,85,52,37,24,24,15,2,72,0031
389,15,563,6,9,3,2,39,37,24,24,0031
390,24,37,24,24,37,24,37,24,72,15,0031
391,15,15,15,15,3,30,10,33,6,51,0031
392,9,23,6,9,6,9,37,24,9,9,0031
393,9,4,418,4,10,21,4,27,10,21,0031
394,27,4,30,4,3,4,30,51,4,3,0031
395,4,51,9,6,4,51,9,4,6,33,0031
396,4,4,23,10,9,9,33,43,23,4,0031
397,6,51,51,23,1082,1082,56,1082,177,56,0031
398,304,32,32,32,32,32,12,4,12,578,0031
399,68,68,862,12,68,110,110,9,6,3683,0031
400,68,578,12,12,862,266,453,453,420,420,0031
401,6,4,9,23,51,4,9,1015,23,23,0031
402,4,9,51,23,9,9,23,81,164,164,0031
403,182,167,161,182,310,167,164,182,41,164,0031
404,167,5,5,161,182,164,9,2,2,3,0031
405,9,9,9,3,38,2,2,13,38,78,0031
406,38,38,78,19,6,78,38,38,192,19,0031
407,6,19,6,9,3,19,13,13,78,19,0031
408,78,78,19,19,19,19,19,19,23,23,0031
409,4,38,15,3,13,38,6,15,19,19,0031
410,38,38,19,173,173,173,173,9,6,9,0031
411,9,9,9,4,9,9,2,9,4,2,0031
412,9,2,1379,54,1379,54,54,54,142,86,0031
413,86,54,1379,54,1379,9,9,4,9,9,0031
414,4,9,6,23,4,9,5,182,161,5,0031
415,41,2,3,6,9,9,4,6,9,2,0031
416,3,4,2,30,4,10,30,4,33,4,0031
417,9,10,9,33,4,6,6,4,60,60,0031
418,51,23,4,60,60,4,51,4,9,51,0031
419,4,39,6,51,23,23,33,23,9,4,0031
420,60,60,60,60,39,80,67,112,138,15,0031
421,72,15,37,24,24,15,15,2,947,107,0031
422,41,185,52,41,305,41,82,41,185,85,0031
423,82,576,31,3,609,133,197,133,3,200,0031
424,123,609,133,52,71,3395,305,393,55,3,0031
425,55,55,55,197,123,106,259,112,513,173,0031
426,55,3472,3607,1155,366,1557,255,366,165,255,0031
427,45,3317,255,99,366,45,45,45,159,255,0031
428,1009,147,186,95,1009,97,604,3,9,6,0031
429,2,604,112,709,85,15,15,52,3,30,0031
430,10,33,6,9,9,37,24,24,9,9,0031
431,9,37,24,24,9,55,305,133,55,55,0031
432,138,112,55,123,197,3551,3418,217,258,395,0031
433,550,350,6,15,72,2,22,515,565,3663,0031
434,515,22,565,6,515,2628,707,107,17,5,0031
435,18,5,565,136,2628,20,44,4,9,6,0031
436,10,2,1161,6,15,1161,5,1161,5,3335,0031
437,1161,2576,2581,2581,293,1161,3306,454,173,2143,0031
438,173,2143,173,1161,1161,1161,31,2597,3615,2631,0031
439,2,1811,1568,608,3674,2631,2136,1568,2597,3656,0031
440,1811,3667,1811,3,5,1568,1811,15,1568,2136,0031
441,2605,187,517,187,385,376,607,776,385,187,0031
442,607,5,22,385,776,2128,187,517,857,605,0031
443,31,645,385,776,5,376,943,173,184,187,0031
444,385,187,607,44,376,5,2136,605,187,2128,0031
445,187,645,17,18,517,645,376,857,187,22,0031
446,5,173,3362,173,943,245,776,2,31,538,0031
447,538,538,20,1010,187,1010,184,22,187,184,0031
448,10,6,187,184,187,184,184,187,184,1568,0031
449,20,9,55,123,197,55,3592,395,350,3447,0031
450,550,1080,258,810,258,603,55,106,123,197,0031
451,1799,106,3565,3461,217,217,1802,709,112,55,0031
452,55,197,123,55,55,123,197,3598,366,3412,0031
453,55,123,197,55,55,55,123,55,197,946,0031
454,55,3383,3374,350,1154,606,548,1154,2,24,0031
455,37,24,24,2,31,204,1261,1383,1261,1246,0031
456,1246,1383,1261,1246,1383,514,1246,204,1261,1246,0031
457,204,55,9,2,55,55,197,123,3370,3506,0031
458,227,550,395,227,941,603,548,603,15,10,0031
459,4,21,9,55,197,123,55,3375,3481,643,0031
460,643,4,60,60,60,80,60,15,72,15,0031
461,15,15,351,39,21,27,30,3,10,33,0031
462,24,37,51,6,39,23,254,9,138,112,0031
463,9,9,6,9,24,37,9,9,4,9,0031
464,37,24,24,9,4,60,60,80,67,60,0031
465,60,138,15,72,112,15,37,24,24,24,0031
466,15,15,15,15,39,15,39,2,3,30,0031
467,10,33,9,6,85,52,31,1261,204,1383,0031
468,1246,1383,514,204,1246,1383,1261,15,3,204,0031
469,1261,10,9,9,9,51,23,6,9,9,0031
470,3,9,3,88,9,2,9,17,393,9,0031
471,393,5,6,40,4,9,9,2,9,9,0031
472,9,9,9,9,9,6,9,4,11,11,0031
473,2,7,10,21,30,33,626,3,15,9,0031
474,39,77,38,152,19,13,1,78,6,9,0031
475,9,9,17,5,5,5,17,5,5,5,0031
476,9,10,17,17,5,17,5,17,2608,17,0031
477,5,17,5,6,9,2,3,10,9,9,0031
478,4,9,9,9,9,9,9,9,9,9,0031
479,9,9,9,9,4,9,9,9,9,9,0031
480,9,9,9,2,9,4,9,39,39,88,0031
481,213,9,6,3,2,39,9,9,3,30,0031
482,9,10,33,6,23,6,9,9,9,9,0031
483,9,6,9,4,9,9,9,9,9,9,0031
484,6,4,9,5,17,22,53,3,213,2,0031
485,6,9,2,6,10,207,496,77,3,9,0031
486,9,9,60,60,60,60,39,39,80,67,0031
487,15,72,15,15,15,3,30,10,9,33,0031
488,24,37,51,6,23,85,52,9,9,9,0031
489,24,37,24,9,9,9,37,24,4,9,0031
490,9,9,9,24,37,24,9,9,9,4,0031
491,37,24,9,4,133,576,133,3,609,31,0031
492,3,133,200,197,123,133,192,609,609,133,0031
493,133,393,3411,258,258,217,217,856,856,55,0031
494,3,55,55,55,106,200,123,197,106,173,0031
495,809,2141,1011,625,1152,625,3487,173,174,366,0031
496,366,3529,212,863,863,366,366,55,123,197,0031
497,55,200,106,3644,128,173,342,174,173,3530,0031
498,2089,227,227,227,3524,1010,1010,855,810,810,0031
499,55,55,197,123,200,55,55,3584,212,1015,0031
500,43,2,2,6,3,43,6,3,2,2146,0031
501,2146,2146,393,60,60,60,60,80,67,67,0031
502,15,72,575,576,133,31,3,609,200,133,0031
503,3,123,197,609,52,333,193,52,3475,1801,0031
504,212,709,112,305,265,15,393,138,112,15,0031
505,3,55,67,55,55,55,197,123,55,15,0031
506,342,259,5,3546,3464,603,258,174,1382,24,0031
507,37,24,537,39,85,52,37,24,24,39,0031
508,24,37,37,24,24,576,133,3,609,123,0031
509,197,200,31,609,192,133,203,5,208,133,0031
510,3394,350,393,3,55,106,123,197,55,237,0031
511,106,245,3479,55,197,123,5,1382,123,55,0031
512,197,3579,3467,55,43,197,133,123,5,3478,0031
513,1788,393,55,123,197,55,3559,3468,2,415,0031
514,6,856,212,415,856,212,3,55,197,123,0031
515,55,238,2,6,3602,3,3389,13,38,88,0031
516,217,227,258,217,227,238,3,6,13,38,0031
517,88,2139,1262,1797,2118,773,773,1790,574,733,0031
518,2091,1790,733,244,773,2113,1785,31,455,1083,0031
519,574,853,2090,1083,55,940,1248,197,123,1083,0031
520,55,55,123,55,197,3477,3471,602,602,350,0031
521,350,550,395,395,773,55,123,197,55,343,0031
522,193,123,55,197,3429,3495,212,212,739,55,0031
523,1785,2611,55,2611,773,773,773,80,67,138,0031
524,15,112,72,37,24,24,31,576,133,3,0031
525,609,200,3,133,197,123,609,133,193,343,0031
526,52,5,208,133,52,3550,606,548,212,212,0031
